Filename,Unique,Outliers
BNG(anneal)_OpenML,5920,734732
BNG(anneal.ORIG)_OpenML,8835,538601
BNG(labor)_OpenML,8988,711067
BNG(letter)_OpenML,36,999437
BNG(autos)_OpenML,1,1000000
BNG(lymph)_OpenML,35908,524046
BNG(bridges_version1)_OpenML,1,1000000
BNG(mfeat-zernike)_OpenML,1,1000000
BNG(colic.ORIG)_OpenML,1,1000000
BNG(colic)_OpenML,1,1000000
BNG(credit-a)_OpenML,3,999990
BNG(page-blocks)_OpenML,1,295245
BNG(credit-g)_OpenML,1,1000000
BNG(pendigits)_OpenML,1,1000000
BNG(cylinder-bands)_OpenML,1,1000000
BNG(dermatology)_OpenML,29,999814
BNG(sonar)_OpenML,53,998988
BNG(heart-c)_OpenML,1,1000000
BNG(heart-statlog)_OpenML,1,1000000
BNG(vehicle)_OpenML,1,1000000
BNG(hepatitis)_OpenML,1,1000000
BNG(waveform-5000)_OpenML,1,1000000
BNG(zoo)_OpenML,9983,43434
mnist_784_OpenML,1,70000
BNG(primary-tumor)_OpenML,18083,88496
BNG(solar-flare)_OpenML,6613,31617
BNG(solar-flare)_OpenML,5624,23429
BNG(spect_test)_OpenML,28791,226941
BNG(spectf_test)_OpenML,1,1000000
BNG(adult)_OpenML,1,1000000
BNG(satimage)_OpenML,1,1000000
BNG(wine)_OpenML,1,1000000
BNG(eucalyptus)_OpenML,1,1000000
BNG(wisconsin)_OpenML,1,1000000
BNG(cleveland)_OpenML,1,1000000
BNG(auto_price)_OpenML,1,1000000
BNG(cpu_act)_OpenML,1,1000000
BNG(pbc)_OpenML,1,1000000
BNG(autoHorse)_OpenML,1,1000000
BNG(cholesterol)_OpenML,1,1000000
BNG(autoPrice)_OpenML,1,1000000
BNG(pharynx)_OpenML,26821,419149
BNG(2dplanes)_OpenML,18366,60305
BNG(elevators)_OpenML,1,1000000
BNG(cpu_small)_OpenML,1,1000000
BNG(pwLinear)_OpenML,15698,51049
BNG(wine_quality)_OpenML,12,531383
BNG(Australian)_OpenML,209,9578
BNG(satellite_image)_OpenML,1,1000000
BNG(Ailerons)_OpenML,1,1000000
BNG(vowel)_OpenML,2160,868348
BNG(puma32H)_OpenML,1,1000000
BNG(SPECT)_OpenML,25978,207889
BNG(SPECTF)_OpenML,1,1000000
BNG(mv)_OpenML,1,78732
BNG(JapaneseVowels)_OpenML,4010,451021
Click_prediction_small_OpenML,3812,15557
Click_prediction_small_OpenML,7351,17404
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1313,976430
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,240,997148
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,115,998894
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,3414,922309
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1335,975645
BNG(anneal_COMMA_5000_COMMA_10)_OpenML,649,989707
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,4025,893018
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,2332,949114
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,1373,974985
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,2867,925585
BNG(anneal.ORIG_COMMA_1000_COMMA_5)_OpenML,1238,976062
BNG(anneal.ORIG_COMMA_1000_COMMA_10)_OpenML,629,989404
BNG(anneal.ORIG_COMMA_5000_COMMA_1)_OpenML,6230,791122
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,2877,924624
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,2049,952486
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,7085,748833
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,4465,863789
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,2907,923155
BNG(kr-vs-kp_COMMA_1000_COMMA_1)_OpenML,20246,732130
BNG(kr-vs-kp_COMMA_1000_COMMA_5)_OpenML,6229,945691
BNG(kr-vs-kp_COMMA_1000_COMMA_10)_OpenML,2792,978786
BNG(kr-vs-kp_COMMA_5000_COMMA_1)_OpenML,27729,394589
BNG(kr-vs-kp_COMMA_5000_COMMA_5)_OpenML,20272,731442
BNG(kr-vs-kp_COMMA_5000_COMMA_10)_OpenML,14285,847605
BNG(kr-vs-kp_COMMA_10000_COMMA_1)_OpenML,27815,308436
BNG(kr-vs-kp_COMMA_10000_COMMA_5)_OpenML,25991,560389
BNG(kr-vs-kp_COMMA_10000_COMMA_10)_OpenML,20378,729703
BNG(letter_COMMA_1000_COMMA_1)_OpenML,12,999743
BNG(letter_COMMA_1000_COMMA_5)_OpenML,9,999912
BNG(letter_COMMA_1000_COMMA_10)_OpenML,3,999981
BNG(letter_COMMA_5000_COMMA_1)_OpenML,26,999536
BNG(letter_COMMA_5000_COMMA_5)_OpenML,12,999740
BNG(letter_COMMA_5000_COMMA_10)_OpenML,9,999882
BNG(letter_COMMA_10000_COMMA_1)_OpenML,26,999548
BNG(letter_COMMA_10000_COMMA_5)_OpenML,26,999527
BNG(letter_COMMA_10000_COMMA_10)_OpenML,12,999737
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,2031,973835
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,242,997487
BNG(audiology_COMMA_1000_COMMA_10)_OpenML,85,999210
letter_OpenML,53,19658
pendigits_OpenML,1,10992
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,13504,301687
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,8643,101357
BNG(kr-vs-kp)_OpenML,23498,208438
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,26129,202612
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,13159,140201
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,7201,902553
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,34467,387942
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,14704,884188
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,7952,943394
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,5096,910642
BNG(mushroom)_OpenML,10160,222131
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1,1000000
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,10310,886231
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,15733,75141
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,9377,928200
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,14290,144416
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1,1000000
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1611,987713
BNG(segment)_OpenML,4655,46845
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,9,999954
BNG(soybean)_OpenML,16160,672371
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,22415,93707
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,9256,31927
BNG(trains)_OpenML,3100,969600
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,20445,80416
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,12175,161655
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,24802,159689
BNG(vote)_OpenML,3108,14981
BNG(ionosphere)_OpenML,6288,709871
BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML,3,999989
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,25007,275887
Hyperplane_10_1E-3_OpenML,1,0
Hyperplane_10_1E-4_OpenML,1,0
LED(50000)_OpenML,1279,992180
pokerhand_OpenML,1,829201
RandomRBF_50_1E-3_OpenML,15,74078
RandomRBF_50_1E-4_OpenML,19,75131
covertype_OpenML,15,110323
pol_OpenML,1,15000
2dplanes_OpenML,165,39918
elevators_OpenML,1,16599
BNG(anneal)_OpenML,5920,734732
BNG(anneal.ORIG)_OpenML,8835,538601
BNG(labor)_OpenML,8988,711067
BNG(letter)_OpenML,36,999437
BNG(autos)_OpenML,1,1000000
BNG(lymph)_OpenML,35908,524046
BNG(bridges_version1)_OpenML,1,1000000
BNG(mfeat-zernike)_OpenML,1,1000000
BNG(colic.ORIG)_OpenML,1,1000000
BNG(colic)_OpenML,1,1000000
BNG(credit-a)_OpenML,3,999990
BNG(page-blocks)_OpenML,1,295245
BNG(credit-g)_OpenML,1,1000000
BNG(pendigits)_OpenML,1,1000000
BNG(cylinder-bands)_OpenML,1,1000000
BNG(dermatology)_OpenML,29,999814
BNG(sonar)_OpenML,53,998988
BNG(heart-c)_OpenML,1,1000000
BNG(heart-statlog)_OpenML,1,1000000
BNG(vehicle)_OpenML,1,1000000
BNG(hepatitis)_OpenML,1,1000000
BNG(waveform-5000)_OpenML,1,1000000
meta_stream_intervals.arff_OpenML,1,45164
Ailerons_OpenML,1,13750
mv_OpenML,1,40768
mnist_784_OpenML,1,70000
fried_OpenML,2,18
house_16H_OpenML,958,15379
pol_OpenML,1,15000
2dplanes_OpenML,165,39918
ailerons_OpenML,1,13750
house_16H_OpenML,958,15379
elevators_OpenML,1,16599
mv_OpenML,1,40768
fried_OpenML,2,18
letter_OpenML,53,19658
pendigits_OpenML,1,10992
sylva_prior_OpenML,1,14395
eye_movements_OpenML,1,10936
MagicTelescope_OpenML,1,19020
BNG(primary-tumor)_OpenML,18083,88496
BNG(solar-flare)_OpenML,6613,31617
BNG(spect_test)_OpenML,28791,226941
BNG(spectf_test)_OpenML,1,1000000
BNG(adult)_OpenML,1,1000000
BNG(satimage)_OpenML,1,1000000
BNG(wine)_OpenML,1,1000000
BNG(eucalyptus)_OpenML,1,1000000
BNG(wisconsin)_OpenML,1,1000000
BNG(cleveland)_OpenML,1,1000000
BNG(auto_price)_OpenML,1,1000000
BNG(cpu_act)_OpenML,1,1000000
BNG(pbc)_OpenML,1,1000000
BNG(autoHorse)_OpenML,1,1000000
BNG(cholesterol)_OpenML,1,1000000
BNG(autoPrice)_OpenML,1,1000000
BNG(pharynx)_OpenML,26821,419149
BNG(2dplanes)_OpenML,18366,60305
BNG(elevators)_OpenML,1,1000000
BNG(cpu_small)_OpenML,1,1000000
BNG(pwLinear)_OpenML,15698,51049
BNG(wine_quality)_OpenML,12,531383
BNG(Australian)_OpenML,209,9578
BNG(satellite_image)_OpenML,1,1000000
BNG(Ailerons)_OpenML,1,1000000
BNG(vowel)_OpenML,2160,868348
BNG(puma32H)_OpenML,1,1000000
BNG(SPECT)_OpenML,25978,207889
BNG(SPECTF)_OpenML,1,1000000
BNG(mv)_OpenML,1,78732
BNG(JapaneseVowels)_OpenML,4010,451021
Click_prediction_small_OpenML,3812,15557
Click_prediction_small_OpenML,7351,17404
letter-challenge-unlabeled.arff_OpenML,53,19658
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1313,976430
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,240,997148
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,115,998894
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,3414,922309
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1335,975645
BNG(audiology_COMMA_5000_COMMA_1)_OpenML,8732,856981
BNG(audiology_COMMA_5000_COMMA_5)_OpenML,2052,973476
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,867,989847
BNG(autos_COMMA_1000_COMMA_1)_OpenML,1,1000000
BNG(autos_COMMA_1000_COMMA_5)_OpenML,1,1000000
BNG(autos_COMMA_1000_COMMA_10)_OpenML,1,1000000
BNG(autos_COMMA_5000_COMMA_1)_OpenML,1,1000000
BNG(autos_COMMA_5000_COMMA_5)_OpenML,1,1000000
BNG(autos_COMMA_5000_COMMA_10)_OpenML,1,1000000
BNG(autos_COMMA_10000_COMMA_1)_OpenML,1,1000000
BNG(autos_COMMA_10000_COMMA_5)_OpenML,1,1000000
BNG(autos_COMMA_10000_COMMA_10)_OpenML,1,1000000
BNG(lymph_COMMA_1000_COMMA_1)_OpenML,245,998565
BNG(lymph_COMMA_1000_COMMA_5)_OpenML,9,999960
BNG(lymph_COMMA_1000_COMMA_10)_OpenML,5,999979
BNG(lymph_COMMA_5000_COMMA_1)_OpenML,4483,968460
BNG(lymph_COMMA_5000_COMMA_5)_OpenML,291,998296
BNG(lymph_COMMA_5000_COMMA_10)_OpenML,43,999767
BNG(lymph_COMMA_10000_COMMA_1)_OpenML,9907,916389
BNG(lymph_COMMA_10000_COMMA_5)_OpenML,1442,990970
BNG(lymph_COMMA_10000_COMMA_10)_OpenML,304,998207
Kaggle_bike_sharing_demand_challange_OpenML,1,10886
bank-marketing_OpenML,1,45211
eeg-eye-state_OpenML,1,14980
gas-drift_OpenML,1,13910
gas-drift-different-concentrations_OpenML,1,13910
har_OpenML,1,10299
nomao_OpenML,784,14575
spoken-arabic-digit_OpenML,269,249932
poker-hand_OpenML,1,1025009
poker-hand_OpenML,1,1025000
covertype_OpenML,1,581012
creditcard_OpenML,1477,253240
CreditCardSubset_OpenML,1,14240
PhishingWebsites_OpenML,268,9162
Diabetes130US_OpenML,1,101766
OnlineNewsPopularity_OpenML,1,39644
Buzzinsocialmedia_Twitter_OpenML,897,567642
numerai28.6_OpenML,1245,43015
BNG(credit-g)_OpenML,1,1000000
BNG(ionosphere)_OpenML,6288,709871
BNG(segment)_OpenML,4655,46845
BNG(anneal)_OpenML,5920,734732
connect-4_OpenML,1,67557
fars_OpenML,432,97363
Devnagari-Script_OpenML,1,92000
CIFAR_10_small_OpenML,1,20000
CIFAR_10_OpenML,1,60000
Fashion-MNIST_OpenML,1,70000
EMNIST_Balanced_OpenML,1,131600
mnist_rotation_OpenML,1,62000
SVHN_OpenML,1,99289
STL-10_OpenML,1,13000
MiniBooNE_OpenML,2,129596
guillermo_OpenML,1,20000
riccardo_OpenML,103,19490
dilbert_OpenML,1,10000
robert_OpenML,1,10000
volkert_OpenML,117,4988
dionis_OpenML,1,416188
jannis_OpenML,1,83733
helena_OpenML,1,65196
Klaverjas2018_OpenML,1,981541
Click_prediction_small_OpenML,1099,9386
microaggregation2_OpenML,79,16333
Kuzushiji-MNIST_OpenML,1,70000
CIFAR-100_OpenML,1,60000
GTSRB-HOG01_OpenML,1,51839
GTSRB-HOG02_OpenML,3,51797
GTSRB-HOG03_OpenML,1,51839
GTSRB-HueHist_OpenML,1,0
Kuzushiji-49_OpenML,1,270912
SVHN_medium_OpenML,1,49644
CreditCardFraudDetection_OpenML,20,284671
dataset_sales_OpenML,70,2438
aloi_OpenML,108,107017
CreditCardFraudDetection_OpenML,20,284671
SantanderCustomerSatisfaction_OpenML,1,200000
hls4ml_lhc_jets_hlf_OpenML,5102,135795
default-of-credit-card-clients_OpenML,1,30000
medical_charges_nominal_OpenML,1,163065
Allstate_Claims_Severity_OpenML,1,188318
house_sales_reduced_OpenML,1,21613
RelevantImagesDatasetTEST_OpenML,204,132421
Brazilian_houses_OpenML,14,10589
Yolanda_OpenML,1,400000
Bike_Sharing_Demand_OpenML,1,17379
Bike_Sharing_Demand_OpenML,1,17379
BNG(vehicle)_OpenML,1,1000000
OnlineNewsPopularity_OpenML,1,39644
nyc-taxi-green-dec-2016_OpenML,1,581835
house_sales_OpenML,1,21613
Click_prediction_small_OpenML,1099,9386
Higgs_OpenML,1,1000000
PCam16k_OpenML,1,16000
PCam16k_OpenML,1,16000
NASA_PHM2008_OpenML,10,13
NASA_PHM2008_1_OpenML,1,45918
30mlday_OpenML,809,217944
MiamiHousing2016_OpenML,544,3020
Porto_Seguro_Safe_Driver_Prediction_2nd_Place_Lightgbm_Solution_OpenML,154,594203
ACSPublicCoverage_OpenML,9607,1053329
ACSIncome_OpenML,1292,1656655
SGEMM_GPU_kernel_performance_OpenML,1,241600
superconduct_OpenML,395,17508
